,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,31,5.0,8.0,44,6.0
1,41,1.0,11.0,67,4.0
2,4,1.0,3.0,4,1.0
3,45,9.0,20.0,80,12.0
4,87,14.0,45.0,198,14.0
5,99,24.0,49.0,208,29.0
6,122,31.0,87.0,264,44.0
7,249,44.0,127.0,473,56.0
8,373,59.0,124.0,726,75.0
9,334,62.0,83.0,643,82.0
10,267,73.0,110.0,489,101.0
11,312,67.0,63.0,579,89.0
12,250,59.0,75.0,417,65.0
13,215,38.0,32.0,334,50.0
14,131,31.0,24.0,201,35.0
15,105,34.0,63.0,172,41.0
16,145,24.0,120.0,350,29.0
17,210,26.0,58.0,428,30.0
18,179,21.0,36.0,344,22.0
19,108,14.0,34.0,233,16.0
20,86,12.0,67.0,206,14.0
21,133,8.0,50.0,261,13.0
22,155,13.0,34.0,279,17.0
23,76,6.0,29.0,191,11.0
24,98,8.0,32.0,162,10.0
25,161,8.0,41.0,263,10.0
26,125,11.0,43.0,240,14.0
27,157,9.0,27.0,216,9.0
28,120,7.0,22.0,208,10.0
29,91,9.0,12.0,109,12.0
30,74,2.0,13.0,91,2.0
31,46,5.0,7.0,67,6.0
32,25,1.0,11.0,42,1.0
33,51,5.0,33.0,63,7.0
34,84,4.0,3.0,107,4.0
35,43,1.0,8.0,50,1.0
36,25,1.0,5.0,44,2.0
37,24,3.0,5.0,34,3.0
38,38,1.0,3.0,46,1.0
39,32,1.0,11.0,42,2.0
40,30,2.0,6.0,35,2.0
41,15,1.0,2.0,24,1.0
42,15,1.0,5.0,22,1.0
43,26,1.0,9.0,29,3.0
44,29,,13.0,38,1.0
45,42,,20.0,52,1.0
46,144,,11.0,112,
47,47,,2.0,62,
48,20,,37.0,30,
49,58,,4.0,75,
50,170,,11.0,177,
51,36,,,48,
