,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,30,6.0,5.0,37,6.0
1,53,3.0,12.0,83,6.0
2,63,5.0,17.0,98,10.0
3,89,17.0,51.0,203,25.0
4,137,29.0,45.0,239,37.0
5,199,40.0,58.0,381,69.0
6,330,73.0,84.0,565,111.0
7,403,105.0,100.0,655,139.0
8,395,113.0,72.0,652,151.0
9,366,126.0,75.0,602,174.0
10,389,97.0,126.0,590,129.0
11,325,97.0,92.0,536,126.0
12,285,74.0,60.0,471,102.0
13,213,54.0,34.0,350,79.0
14,182,37.0,39.0,299,60.0
15,214,42.0,25.0,279,51.0
16,165,33.0,41.0,243,34.0
17,248,28.0,58.0,532,33.0
18,218,27.0,52.0,345,31.0
19,161,23.0,21.0,247,36.0
20,177,19.0,22.0,317,29.0
21,229,27.0,39.0,376,39.0
22,274,38.0,61.0,432,51.0
23,238,47.0,40.0,333,53.0
24,108,24.0,48.0,222,33.0
25,122,18.0,25.0,182,20.0
26,109,18.0,24.0,147,19.0
27,86,5.0,29.0,132,8.0
28,91,7.0,22.0,144,8.0
29,70,11.0,9.0,109,12.0
30,29,1.0,5.0,51,4.0
31,46,10.0,5.0,68,12.0
32,38,4.0,11.0,52,5.0
33,50,5.0,10.0,61,5.0
34,39,6.0,4.0,40,7.0
35,26,3.0,6.0,50,6.0
36,45,2.0,6.0,69,2.0
37,50,3.0,4.0,57,5.0
38,34,1.0,9.0,47,7.0
39,21,2.0,12.0,38,3.0
40,9,1.0,3.0,15,2.0
41,19,1.0,3.0,27,2.0
42,48,1.0,10.0,64,2.0
43,31,1.0,9.0,47,1.0
44,36,3.0,6.0,46,1.0
45,57,2.0,1.0,93,4.0
46,32,1.0,10.0,40,2.0
47,33,1.0,7.0,45,1.0
48,42,4.0,2.0,59,1.0
49,25,5.0,9.0,31,4.0
50,30,,8.0,41,5.0
51,33,,,47,
