Category: All categories,
,
Week,influenza vaccine: (United States)
8/2/15,30
8/9/15,24
8/16/15,21
8/23/15,43
8/30/15,47
9/6/15,47
9/13/15,74
9/20/15,75
9/27/15,91
10/4/15,100
10/11/15,76
10/18/15,88
10/25/15,69
11/1/15,66
11/8/15,81
11/15/15,48
11/22/15,31
11/29/15,47
12/6/15,36
12/13/15,37
12/20/15,20
12/27/15,25
1/3/16,22
1/10/16,30
1/17/16,18
1/24/16,24
1/31/16,33
2/7/16,38
2/14/16,32
2/21/16,39
2/28/16,27
3/6/16,38
3/13/16,26
3/20/16,28
3/27/16,26
4/3/16,32
4/10/16,26
4/17/16,26
4/24/16,27
5/1/16,30
5/8/16,19
5/15/16,15
5/22/16,22
5/29/16,14
6/5/16,21
6/12/16,11
6/19/16,12
6/26/16,22
7/3/16,17
7/10/16,15
7/17/16,17
7/24/16,9
7/31/16,19
