Category: All categories,
,
Week,influenza vaccine: (United States)
8/6/17,37
8/13/17,29
8/20/17,53
8/27/17,62
9/3/17,53
9/10/17,71
9/17/17,84
9/24/17,99
10/1/17,95
10/8/17,80
10/15/17,94
10/22/17,82
10/29/17,83
11/5/17,69
11/12/17,78
11/19/17,50
11/26/17,56
12/3/17,58
12/10/17,53
12/17/17,37
12/24/17,44
12/31/17,45
1/7/18,72
1/14/18,79
1/21/18,99
1/28/18,100
2/4/18,70
2/11/18,65
2/18/18,54
2/25/18,35
3/4/18,45
3/11/18,34
3/18/18,33
3/25/18,40
4/1/18,44
4/8/18,39
4/15/18,32
4/22/18,38
