Category: All categories,
,
Week,influenza vaccine: (United States)
8/3/14,28
8/10/14,27
8/17/14,38
8/24/14,37
8/31/14,48
9/7/14,46
9/14/14,79
9/21/14,78
9/28/14,94
10/5/14,100
10/12/14,96
10/19/14,88
10/26/14,83
11/2/14,61
11/9/14,58
11/16/14,55
11/23/14,36
11/30/14,65
12/7/14,49
12/14/14,50
12/21/14,27
12/28/14,48
1/4/15,38
1/11/15,35
1/18/15,34
1/25/15,26
2/1/15,40
2/8/15,29
2/15/15,30
2/22/15,24
3/1/15,34
3/8/15,31
3/15/15,17
3/22/15,25
3/29/15,32
4/5/15,42
4/12/15,46
4/19/15,28
4/26/15,30
5/3/15,24
5/10/15,18
5/17/15,28
5/24/15,23
5/31/15,34
6/7/15,14
6/14/15,21
6/21/15,20
6/28/15,24
7/5/15,19
7/12/15,26
7/19/15,21
7/26/15,18
