Category: All categories,
,
Week,influenza vaccine: (United States)
8/4/13,22
8/11/13,23
8/18/13,23
8/25/13,27
9/1/13,37
9/8/13,62
9/15/13,58
9/22/13,68
9/29/13,77
10/6/13,100
10/13/13,76
10/20/13,68
10/27/13,54
11/3/13,53
11/10/13,52
11/17/13,57
11/24/13,41
12/1/13,31
12/8/13,39
12/15/13,26
12/22/13,18
12/29/13,34
1/5/14,43
1/12/14,34
1/19/14,46
1/26/14,28
2/2/14,29
2/9/14,29
2/16/14,27
2/23/14,27
3/2/14,20
3/9/14,17
3/16/14,21
3/23/14,22
3/30/14,24
4/6/14,30
4/13/14,26
4/20/14,28
4/27/14,20
5/4/14,16
5/11/14,17
5/18/14,17
5/25/14,16
6/1/14,19
6/8/14,19
6/15/14,19
6/22/14,17
6/29/14,16
7/6/14,24
7/13/14,21
7/20/14,19
7/27/14,8
